"user_id","agrees","disagrees","passes","total_votes","statement_text","group_A_agrees","group_A_disagrees","group_A_passes","group_B_agrees","group_B_disagrees","group_B_passes","group_C_agrees","group_C_disagrees","group_C_passes","moderation_status","is_seed"
"","16","2","3","21","Single story housing for pensioners to downsize to.","1","0","0","6","1","2","9","1","1","","false"
"","24","1","2","27","Decent footpaths would aid walking, many old lanes have no path and many existing old paths are disappearing under vegetation","1","0","0","12","1","1","11","0","1","","false"
"","16","2","3","21","Houses should be built with decent size rooms, there is no need for multiple rooms to have en-suites, a decent bathroom, en-suite and a downstairs toilet should be sufficient.
Garages should be able to take current sized vehicles, not an immediate option for conversion to a room.
 There should be space for a car in relation to bedroom, a four or five bedroom house should not mean 75% of the vehicles are parked on the road.","0","0","0","9","1","1","6","1","2","","false"
"","11","1","4","16","I am against building on green belt particularly en masse like new housing estates but occasionally there are good reasons why single houses  would be acceptable and they need to be looked at individually","0","0","0","9","1","1","2","0","3","","false"
"","15","2","5","22","I dont believe we should use agricultural land for solar farms. They should be going on rooves including carparks.","0","0","0","9","0","1","6","2","4","","false"
"","28","0","0","28","Adequate health services and provisions. Local hospitals and NHS health centres & GP surgeries should be built to cope with the increased population. Its already difficult to obtain appointments.","1","0","0","13","0","0","14","0","0","","false"
"","16","3","3","22","More primary and secondary schools needed. Community centres with enhanced infrastructure to accommodate organisation of multi cultural events and sports / fun activities for residents to be prioritized.","1","0","0","8","3","1","7","0","2","","false"
"","13","7","3","23","I would like funding given to local animal rescue groups to help neuter the increasing number of stray cats in the local area and educate to local community in animal welfare / unnecessary breeding which would
In turn help to ease overcrowding in local animal rescue shelters","0","1","0","8","3","1","4","3","2","","false"
"","10","7","3","20","Social housing is very important, I believe that it should remain social housing and not sold under right to but schemes.","0","0","0","6","3","2","4","3","1","","false"
"","19","0","4","23","Large business should be carefully considered at planning stages as they are now. I believe planning restrictions are not relaxed to ensure new developments are appropriate for the particular site. There are examples of poor developments granted that create problems for locals and the environment.","0","0","0","12","0","2","7","0","2","","false"
"","15","3","4","22","Green energy is good in the right circumstances. Unfortunately wind turbines kill birds, huge amounts of concrete (200 tons) to anchor each one, have limited life  and cannot be recycled. Focus on solar pv, solar thermal on households and other developments/buildings. Maintain agricultural land for agriculture and farming.","0","0","0","11","0","2","4","3","2","","false"
"","17","6","3","26","Housing is obviously important, but the current housing shortage is largely due to mass immigration. We need a government prepared to lead with long term aims at the forefront of planning. Invest in quality training, apprenticeships, encourage our young into public services, nursing etc by removing barriers - university fees, quotas on uk doctors.","1","0","0","7","1","3","9","4","0","","false"
"","23","0","3","26","Development should be appropriate/needed for an area or village, unfortunately the government has forced development upon villages in recent years.","0","0","0","14","0","2","9","0","1","","false"
"","7","7","3","17","Dedicated lanes at roundabouts to exit for the M6 toll should be removed as they cause unnecessary build up of traffic","1","0","0","4","5","1","2","2","2","","false"
"","9","4","5","18","South Staffs needs more outdoor sporting facilities for adults and children to use, such as tennis courts and football pitches, encouraging people to get together and be healthy.","1","0","0","5","4","2","3","0","3","","false"
"","5","3","9","17","Public transport directly to South Staffordshire villages should be available to residents of Kinver.","0","0","1","3","2","4","2","1","4","","false"
"","10","1","6","17","Stop building so many houses in Penkridge nobody wants them. Go and build elsewhere. The doctors can’t take it, the roads are already full of pot holes and you’re doing nothing about it, the village is rammed full of traffic already. It’s ridiculous leave the village alone.","0","0","0","7","1","3","3","0","3","","false"
"","22","2","2","26","There are often very good reasons why buildings should not be built and the community are best placed to make that decision.","0","1","0","10","0","2","11","1","0","","false"
"","3","0","3","6","i agree with the lack of upkeep with footpaths and hedges wacking you in the face, and the grass overgrowing the footpaths,, reclaiming them would be a good start. not to mention trees at the back of my house forced to be cut down or maintained so we dont have 6 meter overhangs in our gardens and trees leaning dangerously close to tip over.","0","0","0","1","0","2","2","0","1","","false"
"","7","0","2","9","Reopen redundant train stations. Eg Cheslyn Hay and others","0","0","0","4","0","2","3","0","0","","false"
"","12","0","0","12","We need a range of options for developing renewable energy.  All car parks , new properties and business should have solar power and other options too","0","0","0","5","0","0","7","0","0","","false"
"","7","1","2","10","Greener options must be considered but not at the expense of environment and landscape","0","0","0","3","0","2","4","0","0","","false"
"","11","1","0","12","Many developers make promises but fail to keep them regarding infrastructure- this needs to be enforced","0","0","0","5","0","0","6","1","0","","false"
"","10","1","1","12","Some solar panel farms could allow animals to graze beneath and support agriculture and renewable energy","0","0","0","3","1","1","7","0","0","","false"
"","8","0","2","10","All road repairs need to be quality assured prior to being “signed off  “ and paid .  If the repair fails then penalties for the utility provider or contractor must be sufficient to ensure that roads and footpaths are of a consistent standard","0","0","0","4","0","1","4","0","1","","false"
"","7","1","1","9","New developments should include more smaller homes.","0","0","0","2","0","1","5","1","0","","false"
"","10","0","1","11","Affordable housing should be affordable for people on local wages.","0","0","0","3","0","1","7","0","0","","false"
"","4","7","0","11","The council should take houses back from people that have more than one and rent them out, there are more than enough houses then to cover the missing future house needs.","0","0","0","1","4","0","3","3","0","","false"
"","4","1","4","9","Projects like the Four Ashes development are a disaster for local communities.","0","0","0","1","1","2","3","0","2","","false"
"","3","2","3","8","join the 21st century not the 1800s with 5g masts and super-fast internet.","0","0","0","1","1","2","2","1","1","","false"
"","7","5","1","13","resurfacing A roads to make them safer to travel on with scooters and motorbikes. The council has invested along the A449 twice-over in less than 4 years but done nothing for smaller A road like Port Lane and roads leading from Codsall to Penkridge. or make dedicated scooter lanes like they have in japan, where they have pedal bikes and scooters using the same lanes or side by side.","0","0","0","2","2","1","5","2","0","","false"
"","10","1","2","13","Villages need fewer large four- and five-bedroom houses.","0","0","0","3","0","2","7","1","0","","false"
"","7","1","3","11","i would rather see wind turbines for solely local use or solar farms on disused land, i don't have any issue with new energy as long as it for everyone.","0","0","0","2","1","1","5","0","2","","false"
"","2","1","3","6","get some of the new floating wind generation blimps from japan.","0","0","0","0","1","2","2","0","1","","false"
"","7","2","1","10","In terms of new towns/villages, there should be eco villages where a small community can help each other grow and produce food and create there own energy? like they have in Germany and holland, you could also produce energy from boglands/wetlands like in holland.","0","0","0","2","1","0","5","1","1","","false"
